レビュー文, スコア
でもなんとなくすがすがしい気分にもなれる映像に７点宮崎アニメはテレビで何回もやっていたのでわざわざ映画館に行くまでもないだろうと思っていたけど、「千と千尋の神隠し」をテレビで観た時はなぜ劇場に行かなかったのかとものすごい後悔したので今回人生で初となる劇場での宮崎アニメ鑑賞となりました, 236.272972
今まで色んなアニメ映画を見て、人にすすめたくなるほど面白いと思ったことは１度も無かったけれど、この映画はぜひおすすめしたい♪「こんなグロテスクなキャラでも、映画を見終わった後にはカワイイと思うのだろうな」と思いながら見ていたが、映画は最高だったのにキャラクターのグッズが欲しいと思うほどの愛着は持てなかったので１点減点, 228.553614
面白い設定は準備したものの、キャラクターに特殊能力は与えたものの、各種アイテムは配置したものの、それらを活かせていない作品がマンガ、アニメ、実写関わらず大変多いことからも、ここまできっちりと各キャラクターを使い切れている作品は大変に稀有と言えます（スパイダーマンですら「予知能力」という伏線を完全に放棄しているくらいですから）, 205.191613
あたしらの世代はインクレディブルみたいな、アメリカンヒーローでは無くて、ウルトラマンや仮面ライダーといった日本のオリジナルのヒーローで十分満足していて、その中には既にインクレディブルにもあるような、家族問題や人間としての葛藤等といった複雑な内容を盛り込んでいたからだと思います, 184.980424
なぜヒーローが存在するのか、どういう原理でスーパーパワーを持っているのか、現実にヒーローが力を振るうとどうなるのか、細かい辻褄合わせは不可欠であり、そのため「これぞヒーロー」という醍醐味の再現は非常に困難な状況となっています, 153.197542
とか、あの城の内部ももっといろんな部屋を見せてほしかったし、ほかにも魅力的な要素がたくさんあるのに、あれで終わらせてしまうのはもったいないとも思うし、やっぱりもの足りないよ～（＾＾；あと、声優さんの声、たしかに結構合っていて上手だと思うけど、昔からのジブリファンとしては、「これ、キムタクの声なんだ」「美輪明弘うまいわ」といちいち意識しながら見てしまうことになるのがやっぱり何だか悲しいです, 152.584928
アンチヒーロー、駄目ヒーローなどヒーロー物は様々あって面白いですが、強い正統派ヒーローが消えた一発屋芸人みたいにひっそり暮らすハメになってしまうのは、切り口として斬新で面白かったです, 152.381889
冒頭で「必要とされなくなったヒーロー」なんて自分好みの展開でまず心をがっしり掴まれ、アニメだからこそできる派手でテンポのいいアクションで楽しませてくれ、テーマの家族愛でほろっとくる, 150.107104
ビッグ・フィッシュやシザーハンズの様なティム・バートン独特の大人のファンタジー感を期待していたのですが、この作品は１００％子供をターゲットにしたファンタジー作品でした, 149.309126
ファンタジーがウリであった一連の作品からよりリアリティのある心理描写へと変わった設定なり構成は、近年に見られる日本アニメよりも余程濃い内容だが、個人的には人間を主軸に描いたCG作品と言うものに、あまり魅力を感じなかった, 145.648518
ただソフィーの若い頃の声が…キムタクも他のすべての声がしっくりきてたのに、あの声だけが最後まで気になってしょうがなかった, 144.543496
スーパーヒーローというのは何かと暮らしにくいというのはスパイダーマンでも描かれていたとおりで、家族それぞれがすごい能力を持っていると大変なことになるものだなあ, 144.307494
最近、ハッタリ宣伝コピーが多い中（ター○ネー○ー３とか）、宮崎作品は作品を豊かにイメージさせる宣伝コピーが多く今回も期待していましが、その点が残念です, 143.775000
しかし、80年代のコミックが元ネタにもかかわらず、エポック・メイキングと言われてしまうのはまだまだ映画がヒーローの概念に疑問を投げかけることも出来ずにいるということか（「バットマン・ビギンズ」は政府公認ヒーローではないのがミソ）, 141.887200
個人的に、宮崎アニメのなかで「千と千尋･･･」は残念だったので、この「ハウル･･･」が素晴らしい作品だったことに、とっても嬉しかったです, 141.880722
初っ端のシーンの音楽がやっぱり久石さんｖｖｖっていう感じで一安心、二人が空飛ぶシーンで宮崎さん健在☆と二安心、それからなんの気兼ねもなしに見れましたｖ問題点はサリマン先生とかかなぁ, 140.756627
その‘進化’は宮崎作品以外だったら純粋に良いものですが、宮崎作品においてはそれが逆の面も持ち合わせてしまうように感じます, 140.426033
「もののけ姫」で対立のある世界で生きること、「千と千尋」で自力で生き成長することを描いてきて、今度は限りある生、老後を生きることをテーマとしたのかな～着眼点いいな～、と自分の中では期待大でした, 136.297672
当時の強大な帝国主義が覇権を争う弱肉強食の国際情勢の中で、「植民地にされるか、植民地を持って強国になるか」の二択しかなかった当時の日本の置かれた立場を含めた正しい歴史認識や公の論理を無視した反戦映画は、このように子供はおろか、大人までも思考停止を促す結果にしかならない, 132.536965
1のトトロを超えるには至りませんが、これも私好みの映画のひとつであり、またジブリ作品は私を映画館に足を運ぼうという気持ちにさせる唯一のアニメです, 131.646688
もともとバートンファンというわけではないので、初期作品に思い入れがあるわけではありませんが、バートンらしさというのが、けして結末が描かれない背景としての孤独であったと思う私にとっては、なんともすっきりさせすぎるこの作品に魅力を感じないのです, 131.082591
吹き替え版を見たのですが…今まで吹き替え版と言うのは避けて来てたのですが、アニメだけに吹き替え版でも特に問題なく、と言うより違和感なく、画面にも集中できるのでもしかして、アニメ等は吹き替え版の方がよいのでは, 129.981292
家族それぞれのキャラクターの作り込みがちゃんとできているのが良いし、ヒーローものの枠組をきちんと維持しながら、作品特有のテーマをきちんと絞り込んでいるのも良い, 129.084089
宮崎アニメということで特別な目で見てしまうけれど、アニメ映画としては結構面白いほうだとは思いますが, 127.450624
最後のご都合主義っぽい走り具合がむむむでしたが、あれはあれでいいし、いい作品って人に言えますよねｖ宮崎さん、まだまだがんばってくださいねｖｖストーリーは確かに粗が多いかもしれませんが、それでも映像と音楽の美しさがチャラにしてくれます, 126.203546
これ以前にこころ優しい家族思いの少年を表現していたのに、家族のために使うのではなく自分のために使う（まぁ、そうしないと映画が始まりませんが･･･（汗））, 126.093999
キムタクも彼らしからぬ声でがんばってたようですし、ソフィーがとても上品で感じよかったし、カルシファーは最初聞いたときはギョっとしましたが、だんだんあの声のおかげで倍は好きになってきたりと、声優さんはオールＯＫ, 124.971287
家族４人がそれぞれ違うスーパーパワーを持っていて、場面ごとに違った能力で家族を救う, 123.613890
ジョニー・デップの存在感に加え、原色を使ったセットの数々はいつもながらセンスを感じさせるし、いざというときに歌うウンパルンパも楽しいが、それ以上に盛り込まれたブラック・ユーモアはファンタジーというよりも教訓的な寓話を作り上げていて、そこがバートンの父親の視点も強く感じさせる, 122.937022
スーパーパワーとか、敵側の謎の美女とか、家族愛とか、アニメに必要なアイテムが大体そろっていて、最後はハッピーエンド, 122.291637
しかしそこで描かれるものは、「ファインディング・ニモ」から更に一歩進んだ、家族愛と家族の団結、そしてそこから生み出されるスーパー・パワー, 121.373518
脚本は能力の活かし方だけでなく、伏線が秀逸で、ダッシュの「じゃ、誰も特別じゃないんだ」というセリフが後のシンドロームの「スーパーヒーローは必要なくなる」というセリフにリンクしたり、公園でのロング・パスがラストに繋がったりと、非常に芸が細かい, 121.182699
胸をワクワクさせるチョコレート工場のチョコレート製造のオープニングから、チョコレート工場の門が開くまでここまででも十分面白いのに、そこから当の主人公ウィリー・ウォンカが登場して物語は更に面白くなる, 119.161816
声優はハウルのキムタクはいい意味で裏切られた感じでしたが、倍賞のソフィーの老婆役はあっていたけど、少女役はやはり年齢的に無理がある感じ, 116.584798
後半の入りで、一度家族を自分のバリアーで守る事の出来なかったヴァイオレットの成長をさり気なく描いたあのシーンはまさに感動の一言です, 113.548176
私はもともと原作ファンなので、今回の映画化で前回の映画化で不満だった部分がどのくらい解消されるかなとか、逆に不満が出たりするかなといろいろ考えつつ見ましたが、後半のオリジナルな部分も含めて、もう満点献上です, 111.916130
そのことも、今までの宮崎作品の中では珍しいことだと思う, 111.750229
／さて、この作品はハウルとソフィーのキャラが大変魅力的でそれで見せているという感じの映画だったと思う, 110.726864
ＣＧとしての完成度もさることながら、ストーリーが面白い、起承転結がちゃんと出来ているし、スーパー家族が互いに思い助け合う姿は意外に泣ける, 110.476208
世の中を守ることしか知らなかった彼が、身近な家族を守ることで、ヒーローとしてだけでなく、父親の誇りも取り戻して復活していく, 108.955879
どこかで宮崎アニメ流を出したかったからなのでしょうが、この話は純粋に二人の愛の物語だと思っていますので、戦争うんぬんのシーンは正直余計だったかと, 108.689575
ただ、アクションに力を注ぎすぎたのか、家族愛という題材はありきたりだし、ピクサー独特の皮肉というか毒の効いた笑いは若干少なめな感じでやや食い足りなかった, 107.624374
倍賞さんの声はこうしたソフィーの心身の変化を表現してさすがという感じでしたが、ハウルの木村拓哉も良かったと思います, 107.500779
夫婦とも元スーパーヒーローという設定でも、夫は過去の栄光に恋々とし、妻は現在のふつーの生活にちゃんと適応していて、人々に賞賛され、脚光を浴びることにさほど未練はない, 107.117130
何も考えないでただボーっと観るならもしかしたら楽しいのかもしれないけど・・・ジョニーの役作りと音楽は最高です♪前作「ビッグ・フィッシュ」以上のモノを期待しつつ、万全の体制で劇場に向かったものの、（「ビッグ・フィッシュ」と同じ路線を求めていた者としては）完全に肩すかしを食らってしまった, 106.086193
お子様向けのストーリーの中に、有名な映画やミュージシャンへのオマージュやブラックユーモア的演出が随所に込められていて、センスの良さをアピールしたい感が伝わってくる作品でした, 105.666598
演出で映画館がチョコレートの香りで包まれていましたが、そんなことせずとも十分映画からチョコレートの香りが薫ってきました, 105.324314
でも、家族愛というか、妹のことを気遣う清太の気持ち、兄を慕う節子の姿に心を打たれた, 103.937779
人物描写や周りの空気をここまで現実的にリアルにした映画はジブリ作品では最高峰に当たるものではないでしょうか, 102.186095
