レビュー文, スコア
薄味でいい感じとある日本のバンドがライブの始めはアイアンマンのカバーって決まっててアイアンマンにハマってるとこでこの映画みなくてもいいやと思ってたけど麻生久美子がお勧めしていたため借りてきた素直におもしろい成功哲学とかなく天才だから名社長アメリカらしいカチャッ、カチャッとパワードスーツを身にまとい、空を高速で飛ぶ, 152.679297
アイアンマンの外見と、スーツ内部のトニー・スタークの様子を切り返しで見せる演出最初3分の1のアイアンマン誕生ストーリーが新鮮でインパクトがありました, 150.888808
１作目なので、アイアンマンスーツが作られる過程、スーツを使いこなすまでの過程なんかが描かれていて、正直、スーツが意図通りに動かなければ動かないほど、観てて面白いのです, 106.446046
予習程度に観るつもりだったんだけど・・・以前、友達数人とこの映画観に行った時（あー３年前か、なつかしい）は「まぁ悪くはないんじゃない、子供だったら絶対楽しめるよねー」って“オトナ”な評価をしていた自分でしたが、時は流れとっくに二十代に突入した今日改めて観てみたら、・・・普通に楽しんでしまった笑博物館のものが動き出して、ってもうワクワクじゃないですか, 100.714369
三作品の中で、一番良くできた脚本・演出だと思いますが、シリーズ三作目ということで、ややマンネリを感じました, 93.220811
シリーズの中では完成度が高いが、ネタ不足がちょっと気になるし、第1作の新鮮なインパクトには及ばない, 93.160262
この第1作は序章と言う感じがして、“アイアンマン”が完成するところまでと言う感じがしたので、戦闘シーン等には第2作以降にさらなる期待を持ちたい, 90.491407
話のスケールは一番大きいんだけれど、シリーズ三作目ともなるとドキドキ感では「レイダース」に敵わず、テンポの良さでは｢魔宮の伝説｣に及んでいない気がする, 89.922983
結果、ハリソン君とコネリーの掛け合いのよってシリーズの中で一番笑える作品になりました, 89.786202
シリーズの中で最も評価が芳しくないらしい本作だが（それでも高得点の部類だけど）、個人的には一番面白かった, 82.386619
インディ・ジョーンズシリーズが面白くて、３弾が待ち遠しくて仕方なかった記憶が残っている, 80.083536
アイアンマンのデザインが、ロボコップかウォーズマンっぽくて個人的には好きです, 79.755032
インディを主体に冒険が舞台だったストレートな展開も、やはりインディパパを参入させた事でインディの活躍がやや押さえられた印象, 78.955396
インディシリーズで中でも一番好き, 75.972584
インディ・ジョーンズシリーズの中でこの映画が一番好き, 75.833933
監督のコメントで、アイアンマンはキャラクターの描写ができるとかはどうでも良くて、とにかくスーツがカッコいいか, 75.647136
しっかし、一番最後の記者会見でトニー・スターク社長が言い放った一言は、ヒーローを夢見る男の子にとっては、言いたくて言いたくてしょうがない一言で、非常に共感をもてた（笑）, 75.366065
今でも、１ヶ月に一回くらいは見直してます（笑宮崎アニメの映像の美しさはやはり見とれてしまうものがある, 74.599210
当時は面白かったんだけど…、成人した今見るとなかなかツッコミどころ満載で、結構辛いな～～シリーズも続くにつれて、厳しくなっていったって感じで、新鮮さもなく…心が躍らなかった…なりたいんですよインディーに, 74.293924
連チャンして見た次の映画はギンギンに目が冴えていたのに・・・大学生１年の頃、シリーズ中最初に観たせいかもしれないが、コレが一番好き, 74.017959
最初はただの金持ちで女たらしなグーダラ社長だったので、この時点で既に冷めてしまいましたが、捕虜にされてから、めっちゃカッコいいイカした親父に見えてきて、見終わった頃にはトニースターク社長の大ファンになってました, 73.839400
シリーズ３作目は個人的には一番下の評価, 72.154129
劇場に見に行き、TV放映時にも見返したがどうだろう、、確かに映像は迫力があって、それなりには見ごたえがあるし、環境問題を扱っていたり、人間の、自然と共存できない愚かさを前面に押し出しているのでメッセージ性は高いかもしれないが、それにしてもストーリーに深み、というか魅力が感じられないので、見た後、面白かったなぁ…と心からは思えなかった, 71.951424
残酷なシーンなど、子供が見るのはちょっと・・・宮崎アニメのヒーロー（いわゆる主役の男）はなんでヒロイン（主役の女）にいきなり慣れ慣れしいんでしょうか, 71.752388
アイアンマンの装備が徐々に仕上がっていく過程とかはワクワク感もあり戦闘シーン以外でも見所があって良かったです, 70.345762
個人的にはこれがシリーズの中では一番面白かった, 68.817968
ハリソンは前転してましたね（W冒険ものは好きですが、このシリーズは特別です, 68.686465
１作目ほどではないけど、結構楽しめた「ちょいスケベおちゃめな親父が大奮闘主役を食ったぞショーンの演技」詠み人素来夢無人・朝3部作の中では1番おもしろいですね, 67.759050
（笑）シリーズの中では一番面白いです, 67.032820
才能は評価されていたものの素行が悪いために観客からも製作者からも敬遠された人で、日本でいえば大河ドラマの主演に沢尻エリカや赤西仁を据えるというレベルの判断を本作の製作者は下したのです, 66.862188
インディーシリーズの中で一番これが大好き, 66.315956
アメコミって、もらい事故的にヒーローになることが多いような気がするが、本作は（きっかけは兎も角）自ら作成したマシーンでヒーローになるって所が新鮮だった, 65.678808
シリーズの中で評判悪いですが、わたし的にはこれがベストです, 65.505026
何回でも見れる映画、シリーズの中では一番好き, 64.543023
実は、シリーズの中で一番好きなのがこれ, 64.236515
シリーズの中で一番、しかも圧倒的につまらん, 63.895588
ひとり軍隊、人間砲弾のようなアイアンマンの能力自体はムチャクチャで悪くはないんだけど、それに比べて敵がショボ過ぎで、パワーが活かしきれてない, 62.450869
シリーズ物３作目だが、質が落ちていないのはさすがスピルバーグ, 62.379719
駄目な親父が自分の愛する者に尊敬されたいがためにがんばる、ってテーマを軸に、笑いあり迫力あり感動ありで描かれた、実にスガスガしいエンターテイナーな作品でした, 61.958247
これがシリーズの中で一番面白い, 61.487643
シリーズの中で一番好きです, 61.487643
 シリーズの中で一番面白いです, 61.487643
アイアンマンだけでなく、スーツを作成するまでの試行錯誤がなかなか楽しめた, 61.158641
このシリーズでは最初のレイダースが良すぎて、正直２作目がガッカリだった, 61.158641
