単語, スコア
納棺, 17.703817
アカデミー, 14.484941
賞, 14.484941
演技, 12.039728
オリジナル, 12.039728
映像, 9.704061
宇宙, 9.656627
受賞, 9.656627
日本, 9.631782
意味, 9.194861
オチ, 9.162907
前作, 8.427810
ヒロイン, 8.047190
ダコタ, 8.047190
ファニング, 8.047190
山崎, 8.047190
努, 8.047190
死, 8.047190
仕事, 8.047190
本木, 8.047190
ゾンビ, 7.330326
今回, 7.223837
子供, 7.223837
ホラー, 6.640733
もの, 6.640733
キューブリック, 6.437752
外国, 6.437752
チェロ, 6.437752
自分, 6.420149
一人, 6.414035
展開, 6.238325
人, 6.129907
感, 6.129907
家族, 6.019864
リメイク, 6.019864
鑑賞, 5.497744
感情, 5.497744
シナリオ, 5.497744
脚本, 5.497744
主人, 5.108256
ストーリー, 5.108256
雰囲気, 4.852030
猿人, 4.828314
設計, 4.828314
チェーン, 4.828314
ソー, 4.828314
友人, 4.828314
シックス, 4.828314
デ, 4.828314
ニーロ, 4.828314
続編, 4.828314
犬, 4.828314
感染, 4.828314
時間, 4.828314
モッ, 4.828314
人生, 4.828314
台詞, 4.828314
感心, 4.828314
広末, 4.828314
移入, 4.828314
者, 4.828314
雅弘, 4.828314
小山, 4.828314
テーマ, 4.828314
機会, 4.815891
理由, 4.815891
センス, 4.815891
感動, 4.815891
こと, 4.741223
期待, 4.636774
理解, 4.597431
感じ, 4.597431
ところ, 4.597431
度, 4.597431
時代, 4.581454
評価, 4.581454
出来, 4.581454
方, 4.581454
ラスト, 4.158883
登場, 4.158883
最高, 4.158883
リアル, 4.158883
人物, 4.158883
内容, 4.086605
本作, 4.086605
年, 3.665163
存在, 3.665163
実, 3.665163
所, 3.665163
劇場, 3.665163
演出, 3.665163
傑作, 3.665163
わけ, 3.665163
回, 3.665163
作り, 3.665163
味, 3.665163
印象, 3.665163
監督, 3.665163
エンディング, 3.665163
役, 3.665163
前半, 3.665163
話, 3.665163
設定, 3.665163
別, 3.665163
以上, 3.611918
空間, 3.611918
不明, 3.611918
版, 3.611918
人類, 3.611918
アクション, 3.611918
予告, 3.611918
他, 3.611918
成功, 3.611918
タイトル, 3.611918
途中, 3.611918
ひと, 3.611918
表情, 3.611918
具合, 3.611918
真剣, 3.611918
行動, 3.611918
妻, 3.611918
気持ち, 3.611918
俳優, 3.611918
作品, 3.582258
本当, 3.575779
点, 3.570297
今, 3.566749
1, 3.465736
個人, 3.465736
人間, 3.465736
描写, 3.465736
ため, 3.347153
船内, 3.218876
ハル, 3.218876
ＳＦ, 3.218876
重力, 3.218876
テキサス, 3.218876
レザー, 3.218876
フェイス, 3.218876
フック, 3.218876
パロディ, 3.218876
ドイツ, 3.218876
結末, 3.218876
エリザベス, 3.218876
シュー, 3.218876
エイミー, 3.218876
あり, 3.218876
問題, 3.218876
軍隊, 3.218876
絶望, 3.218876
１, 3.218876
ｖ, 3.218876
ウィル, 3.218876
スミス, 3.218876
冷静, 3.218876
着目, 3.218876
もっ, 3.218876
程度, 3.218876
