単語, スコア
ロビン, 40.235948
マット, 28.969882
ベン, 24.141569
天才, 22.532131
アフレック, 20.922693
デイモン, 20.922693
ウィリアムス, 19.313255
役, 17.703817
ウィル, 12.875503
サッカー, 12.875503
演技, 12.828070
ガンプ, 11.266065
数学, 11.266065
心, 10.995489
主人, 10.397208
人生, 9.704061
歴史, 9.656627
親友, 9.656627
ウィリアムズ, 9.656627
地球, 9.656627
頃, 9.631782
脚本, 8.684036
二人, 8.427810
ＣＧ, 8.246617
笑い, 8.246617
ミニー, 8.047190
ドライバー, 8.047190
才能, 8.047190
自身, 8.047190
核, 8.047190
香港, 8.047190
コメディ, 7.624619
感動, 7.363737
事, 7.330326
雰囲気, 7.330326
人間, 7.330326
普通, 7.330326
前半, 7.330326
原作, 7.223837
方法, 7.223837
アカデミー, 7.223837
友情, 7.223837
ジム, 7.223837
ため, 7.151559
今, 7.133499
度, 6.931472
回, 6.931472
期待, 6.917450
最後, 6.776824
自分, 6.694307
シーン, 6.694307
ラスト, 6.640733
フォレスト, 6.437752
泥棒, 6.437752
撃退, 6.437752
カルキン, 6.437752
表情, 6.437752
共感, 6.437752
わけ, 6.437752
大学, 6.437752
船, 6.437752
アルマゲドン, 6.437752
目, 6.437752
子供, 6.414035
前, 6.238325
小説, 6.019864
賞, 6.019864
公開, 6.019864
シリーズ, 6.019864
出発, 6.019864
友達, 6.019864
アニメ, 6.019864
とき, 5.619082
俳優, 5.545177
最初, 5.497744
魅力, 5.497744
監督, 5.497744
最近, 5.497744
一, 5.350124
設定, 5.350124
展開, 5.108256
アメリカ, 5.108256
理解, 5.108256
何, 4.852030
実, 4.852030
物語, 4.852030
手, 4.852030
気, 4.852030
ジェニー, 4.828314
ハンクス, 4.828314
発想, 4.828314
教授, 4.828314
ヴァン, 4.828314
サント, 4.828314
工事, 4.828314
現場, 4.828314
ベンアフレック, 4.828314
交流, 4.828314
二, 4.828314
もん, 4.828314
今作, 4.828314
コア, 4.828314
ハッカー, 4.828314
迫力, 4.828314
問題, 4.828314
人類, 4.828314
学者, 4.828314
キーパー, 4.828314
試合, 4.828314
料理, 4.828314
ギャグ, 4.828314
TV, 4.828314
ハルヒ, 4.828314
声, 4.815891
説得, 4.815891
家族, 4.815891
みんな, 4.815891
違和, 4.815891
コテ, 4.815891
ヒューマン, 4.815891
デイ, 4.815891
陣, 4.815891
印象, 4.636774
時, 4.636774
キャラ, 4.597431
ビデオ, 4.581454
一言, 4.581454
大笑い, 4.581454
エピソード, 4.581454
興味, 4.581454
ドラマ, 4.581454
センス, 4.581454
劇場, 4.581454
ストーリー, 4.280099
話, 4.280099
中, 4.239727
ファン, 4.158883
演出, 4.158883
本当, 4.158883
男, 4.158883
以上, 4.158883
方, 4.086605
後, 4.086605
版, 4.086605
出来, 4.086605
内容, 4.086605
場面, 4.086605
人, 4.003700
意味, 3.923424
満点, 3.665163
2, 3.665163
１０, 3.665163
涙, 3.665163
味, 3.665163
成功, 3.665163
うち, 3.665163
傑作, 3.665163
当時, 3.665163
結果, 3.665163
面, 3.665163
テンポ, 3.665163
評価, 3.665163
会話, 3.665163
最終, 3.665163
大人, 3.665163
役柄, 3.665163
評判, 3.665163
描写, 3.665163
存在, 3.665163
現実, 3.665163
間, 3.665163
テレビ, 3.611918
他, 3.611918
あり, 3.611918
あたり, 3.611918
登場, 3.611918
おかげ, 3.611918
過程, 3.611918
小学, 3.611918
子ども, 3.611918
受賞, 3.611918
本気, 3.611918
自ら, 3.611918
車, 3.611918
余韻, 3.611918
徐々, 3.611918
頭, 3.611918
リアリティ, 3.611918
もったい, 3.611918
道, 3.611918
為, 3.611918
字幕, 3.611918
逆, 3.611918
予想, 3.611918
場合, 3.611918
ＳＦ, 3.611918
伏線, 3.611918
ほとんど, 3.611918
ジョーク, 3.611918
後味, 3.611918
B, 3.611918
分, 3.611918
年, 3.575779
部分, 3.575779
通り, 3.575779
最高, 3.570297
表現, 3.465736
全体, 3.465736
人物, 3.465736
所, 3.465736
満載, 3.465736
気持ち, 3.465736
映像, 3.465736
鑑賞, 3.465736
キング, 3.218876
反省, 3.218876
自由, 3.218876
太平, 3.218876
ベスト, 3.218876
誠実, 3.218876
チョコレート, 3.218876
トム, 3.218876
期, 3.218876
一会, 3.218876
シニーズ, 3.218876
羽, 3.218876
学校, 3.218876
構成, 3.218876
じい, 3.218876
マコーレ, 3.218876
ケビン, 3.218876
ガス, 3.218876
性格, 3.218876
成長, 3.218876
キャラクター, 3.218876
街, 3.218876
ハーバード, 3.218876
ヒロイン, 3.218876
頭脳, 3.218876
殻, 3.218876
境遇, 3.218876
周囲, 3.218876
社会, 3.218876
注目, 3.218876
屈折, 3.218876
ボストン, 3.218876
台詞, 3.218876
良作, 3.218876
記憶, 3.218876
要所, 3.218876
背中, 3.218876
ランボー, 3.218876
疑問, 3.218876
パニック, 3.218876
ヒラリー, 3.218876
スワンク, 3.218876
シャトル, 3.218876
鳥, 3.218876
科学, 3.218876
ツッコミ, 3.218876
地中, 3.218876
説明, 3.218876
予告, 3.218876
インディペンデンス, 3.218876
SF, 3.218876
往年, 3.218876
陳腐, 3.218876
博士, 3.218876
デル, 3.218876
ロイ, 3.218876
フサ, 3.218876
専門, 3.218876
知識, 3.218876
キャプテン, 3.218876
翼, 3.218876
小林, 3.218876
女の子, 3.218876
アイドル, 3.218876
情報, 3.218876
開始, 3.218876
ブルース, 3.218876
リー, 3.218876
ダンス, 3.218876
チーム, 3.218876
以下, 3.218876
キャリー, 3.218876
ライアー, 3.218876
YES, 3.218876
連発, 3.218876
ガマン, 3.218876
有吉, 3.218876
連続, 3.218876
テッド, 3.218876
くま, 3.218876
ぬいぐるみ, 3.218876
日本, 3.064954
数, 3.064954
1, 3.064954
時間, 2.853400
あと, 2.853400
ほう, 2.853400
世界, 2.853400
すべて, 2.772589
側, 2.772589
皆, 2.772589
４, 2.772589
別, 2.772589
３, 2.772589
ハリウッド, 2.772589
気分, 2.748872
満足, 2.748872
音楽, 2.748872
なし, 2.748872
１, 2.748872
言葉, 2.748872
思い, 2.748872
者, 2.748872
愛, 2.748872
真剣, 2.748872
序盤, 2.748872
下ネタ, 2.748872
少年, 2.748872
必要, 2.748872
せい, 2.748872
モノ, 2.748872
気味, 2.748872
美人, 2.748872
レベル, 2.748872
途中, 2.748872
想像, 2.748872
シナリオ, 2.554128
もの, 2.423292
大体, 2.407946
半分, 2.407946
思いっきり, 2.407946
会社, 2.407946
希望, 2.407946
メッセージ, 2.407946
完璧, 2.407946
文句, 2.407946
10, 2.407946
決まり, 2.407946
形, 2.407946
常, 2.407946
ヒット, 2.407946
実話, 2.407946
みな, 2.407946
カット, 2.407946
胸, 2.407946
想い, 2.407946
DVD, 2.407946
２０, 2.407946
合成, 2.407946
技術, 2.407946
周り, 2.407946
９０, 2.407946
代, 2.407946
